Reg,Route,Start,End,BusName,Type,Seats,SeatType,MinFare,AddStopFare,Facilities,Stops,Departure,Arrival,TravelTime
TN43 ZX 2017,R104,Kanchipuram,Rameswaram,Crown Voyager,Express,54,Seats,90,45,"GPS, Charger",Uthiramerur -> Melmaruvathur -> Tindivanam -> Villupuram -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,05:20,13:50,8h 30m
TN43 ZX 2018,R104,Kanchipuram,Rameswaram,Southline Star,Deluxe,36,Berth,110,60,"GPS, WiFi",Uthiramerur -> Melmaruvathur -> Tindivanam -> Villupuram -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,06:10,15:10,9h 00m
TN43 ZX 2019,R104,Kanchipuram,Rameswaram,Silver Route,Non-AC Seater,40,Seats,100,55,"GPS, Charger, Water",Uthiramerur -> Melmaruvathur -> Tindivanam -> Villupuram -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,21:30,05:30,8h 00m
TN43 ZX 2020,R104,Kanchipuram,Rameswaram,Deccan Rider,AC Sleeper,30,Berth,135,75,"GPS, Charger, Toilet, WiFi",Uthiramerur -> Melmaruvathur -> Tindivanam -> Villupuram -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,22:15,05:45,7h 30m
TN44 ZX 2021,R105,Cuddalore,Ooty,Delta Runner,Ordinary,48,Seats,65,45,GPS,Panruti -> Villupuram -> Kallakurichi -> Salem -> Mettur -> Bhavani -> Sathyamangalam -> Kotagiri,04:45,12:45,8h 00m
TN44 ZX 2022,R105,Cuddalore,Ooty,Crown Voyager,Express,54,Seats,75,50,"GPS, Charger",Panruti -> Villupuram -> Kallakurichi -> Salem -> Mettur -> Bhavani -> Sathyamangalam -> Kotagiri,05:20,13:50,8h 30m
TN44 ZX 2023,R105,Cuddalore,Ooty,Southline Star,Deluxe,36,Berth,95,65,"GPS, WiFi",Panruti -> Villupuram -> Kallakurichi -> Salem -> Mettur -> Bhavani -> Sathyamangalam -> Kotagiri,06:10,15:10,9h 00m
TN44 ZX 2024,R105,Cuddalore,Ooty,Silver Route,Non-AC Seater,40,Seats,85,60,"GPS, Charger, Water",Panruti -> Villupuram -> Kallakurichi -> Salem -> Mettur -> Bhavani -> Sathyamangalam -> Kotagiri,21:30,05:30,8h 00m
TN44 ZX 2025,R105,Cuddalore,Ooty,Deccan Rider,AC Sleeper,30,Berth,120,80,"GPS, Charger, Toilet, WiFi",Panruti -> Villupuram -> Kallakurichi -> Salem -> Mettur -> Bhavani -> Sathyamangalam -> Kotagiri,22:15,05:45,7h 30m
TN45 ZX 2026,R106,Thoothukudi,Bengaluru,Delta Runner,Ordinary,48,Seats,70,50,GPS,Kovilpatti -> Sankarankovil -> Rajapalayam -> Madurai -> Dindigul -> Salem -> Dharmapuri -> Krishnagiri -> Hosur,04:45,12:45,8h 00m
TN45 ZX 2027,R106,Thoothukudi,Bengaluru,Crown Voyager,Express,54,Seats,80,55,"GPS, Charger",Kovilpatti -> Sankarankovil -> Rajapalayam -> Madurai -> Dindigul -> Salem -> Dharmapuri -> Krishnagiri -> Hosur,05:20,13:50,8h 30m
TN45 ZX 2028,R106,Thoothukudi,Bengaluru,Southline Star,Deluxe,36,Berth,100,70,"GPS, WiFi",Kovilpatti -> Sankarankovil -> Rajapalayam -> Madurai -> Dindigul -> Salem -> Dharmapuri -> Krishnagiri -> Hosur,06:10,15:10,9h 00m
TN45 ZX 2029,R106,Thoothukudi,Bengaluru,Silver Route,Non-AC Seater,40,Seats,90,65,"GPS, Charger, Water",Kovilpatti -> Sankarankovil -> Rajapalayam -> Madurai -> Dindigul -> Salem -> Dharmapuri -> Krishnagiri -> Hosur,21:30,05:30,8h 00m
TN45 ZX 2030,R106,Thoothukudi,Bengaluru,Deccan Rider,AC Sleeper,30,Berth,125,85,"GPS, Charger, Toilet, WiFi",Kovilpatti -> Sankarankovil -> Rajapalayam -> Madurai -> Dindigul -> Salem -> Dharmapuri -> Krishnagiri -> Hosur,22:15,05:45,7h 30m
TN46 ZX 2031,R107,Nagercoil,Pondicherry,Delta Runner,Ordinary,48,Seats,75,40,GPS,Kuzhithurai -> Tirunelveli -> Thoothukudi -> Kayalpattinam -> Sivakasi -> Madurai -> Trichy -> Villupuram -> Cuddalore,04:45,12:45,8h 00m
TN46 ZX 2032,R107,Nagercoil,Pondicherry,Crown Voyager,Express,54,Seats,85,45,"GPS, Charger",Kuzhithurai -> Tirunelveli -> Thoothukudi -> Kayalpattinam -> Sivakasi -> Madurai -> Trichy -> Villupuram -> Cuddalore,05:20,13:50,8h 30m
TN46 ZX 2033,R107,Nagercoil,Pondicherry,Southline Star,Deluxe,36,Berth,105,60,"GPS, WiFi",Kuzhithurai -> Tirunelveli -> Thoothukudi -> Kayalpattinam -> Sivakasi -> Madurai -> Trichy -> Villupuram -> Cuddalore,06:10,15:10,9h 00m
TN46 ZX 2034,R107,Nagercoil,Pondicherry,Silver Route,Non-AC Seater,40,Seats,95,55,"GPS, Charger, Water",Kuzhithurai -> Tirunelveli -> Thoothukudi -> Kayalpattinam -> Sivakasi -> Madurai -> Trichy -> Villupuram -> Cuddalore,21:30,05:30,8h 00m
TN46 ZX 2035,R107,Nagercoil,Pondicherry,Deccan Rider,AC Sleeper,30,Berth,130,75,"GPS, Charger, Toilet, WiFi",Kuzhithurai -> Tirunelveli -> Thoothukudi -> Kayalpattinam -> Sivakasi -> Madurai -> Trichy -> Villupuram -> Cuddalore,22:15,05:45,7h 30m
TN47 ZX 2036,R108,Kumbakonam,Hosur,Delta Runner,Ordinary,48,Seats,80,45,GPS,Mayiladuthurai -> Thiruvarur -> Thanjavur -> Trichy -> Karur -> Namakkal -> Salem -> Dharmapuri -> Krishnagiri,04:45,12:45,8h 00m
TN47 ZX 2037,R108,Kumbakonam,Hosur,Crown Voyager,Express,54,Seats,90,50,"GPS, Charger",Mayiladuthurai -> Thiruvarur -> Thanjavur -> Trichy -> Karur -> Namakkal -> Salem -> Dharmapuri -> Krishnagiri,05:20,13:50,8h 30m
TN47 ZX 2038,R108,Kumbakonam,Hosur,Southline Star,Deluxe,36,Berth,110,65,"GPS, WiFi",Mayiladuthurai -> Thiruvarur -> Thanjavur -> Trichy -> Karur -> Namakkal -> Salem -> Dharmapuri -> Krishnagiri,06:10,15:10,9h 00m
TN47 ZX 2039,R108,Kumbakonam,Hosur,Silver Route,Non-AC Seater,40,Seats,100,60,"GPS, Charger, Water",Mayiladuthurai -> Thiruvarur -> Thanjavur -> Trichy -> Karur -> Namakkal -> Salem -> Dharmapuri -> Krishnagiri,21:30,05:30,8h 00m
TN47 ZX 2040,R108,Kumbakonam,Hosur,Deccan Rider,AC Sleeper,30,Berth,135,80,"GPS, Charger, Toilet, WiFi",Mayiladuthurai -> Thiruvarur -> Thanjavur -> Trichy -> Karur -> Namakkal -> Salem -> Dharmapuri -> Krishnagiri,22:15,05:45,7h 30m
TN48 ZX 2041,R109,Ramanathapuram,Salem,Delta Runner,Ordinary,48,Seats,65,50,GPS,Paramakudi -> Manamadurai -> Sivaganga -> Melur -> Dindigul -> Karur -> Namakkal,04:45,12:45,8h 00m
TN48 ZX 2042,R109,Ramanathapuram,Salem,Crown Voyager,Express,54,Seats,75,55,"GPS, Charger",Paramakudi -> Manamadurai -> Sivaganga -> Melur -> Dindigul -> Karur -> Namakkal,05:20,13:50,8h 30m
TN48 ZX 2043,R109,Ramanathapuram,Salem,Southline Star,Deluxe,36,Berth,95,70,"GPS, WiFi",Paramakudi -> Manamadurai -> Sivaganga -> Melur -> Dindigul -> Karur -> Namakkal,06:10,15:10,9h 00m
TN48 ZX 2044,R109,Ramanathapuram,Salem,Silver Route,Non-AC Seater,40,Seats,85,65,"GPS, Charger, Water",Paramakudi -> Manamadurai -> Sivaganga -> Melur -> Dindigul -> Karur -> Namakkal,21:30,05:30,8h 00m
TN48 ZX 2045,R109,Ramanathapuram,Salem,Deccan Rider,AC Sleeper,30,Berth,120,85,"GPS, Charger, Toilet, WiFi",Paramakudi -> Manamadurai -> Sivaganga -> Melur -> Dindigul -> Karur -> Namakkal,22:15,05:45,7h 30m
TN49 ZX 2046,R110,Nagapattinam,Madurai,Delta Runner,Ordinary,48,Seats,70,40,GPS,Vedaranyam -> Thiruthuraipoondi -> Thiruvarur -> Mannargudi -> Thanjavur -> Pudukottai -> Keeranur -> Melur,04:45,12:45,8h 00m
TN49 ZX 2047,R110,Nagapattinam,Madurai,Crown Voyager,Express,54,Seats,80,45,"GPS, Charger",Vedaranyam -> Thiruthuraipoondi -> Thiruvarur -> Mannargudi -> Thanjavur -> Pudukottai -> Keeranur -> Melur,05:20,13:50,8h 30m
TN49 ZX 2048,R110,Nagapattinam,Madurai,Southline Star,Deluxe,36,Berth,100,60,"GPS, WiFi",Vedaranyam -> Thiruthuraipoondi -> Thiruvarur -> Mannargudi -> Thanjavur -> Pudukottai -> Keeranur -> Melur,06:10,15:10,9h 00m
TN49 ZX 2049,R110,Nagapattinam,Madurai,Silver Route,Non-AC Seater,40,Seats,90,55,"GPS, Charger, Water",Vedaranyam -> Thiruthuraipoondi -> Thiruvarur -> Mannargudi -> Thanjavur -> Pudukottai -> Keeranur -> Melur,21:30,05:30,8h 00m
TN49 ZX 2050,R110,Nagapattinam,Madurai,Deccan Rider,AC Sleeper,30,Berth,125,75,"GPS, Charger, Toilet, WiFi",Vedaranyam -> Thiruthuraipoondi -> Thiruvarur -> Mannargudi -> Thanjavur -> Pudukottai -> Keeranur -> Melur,22:15,05:45,7h 30m
TN50 ZX 2051,R111,Sivakasi,Chidambaram,Delta Runner,Ordinary,48,Seats,75,45,GPS,Virudhunagar -> Aruppukkottai -> Madurai -> Trichy -> Ariyalur -> Jayankondam -> Kattumannarkoil,04:45,12:45,8h 00m
TN50 ZX 2052,R111,Sivakasi,Chidambaram,Crown Voyager,Express,54,Seats,85,50,"GPS, Charger",Virudhunagar -> Aruppukkottai -> Madurai -> Trichy -> Ariyalur -> Jayankondam -> Kattumannarkoil,05:20,13:50,8h 30m
TN50 ZX 2053,R111,Sivakasi,Chidambaram,Southline Star,Deluxe,36,Berth,105,65,"GPS, WiFi",Virudhunagar -> Aruppukkottai -> Madurai -> Trichy -> Ariyalur -> Jayankondam -> Kattumannarkoil,06:10,15:10,9h 00m
TN50 ZX 2054,R111,Sivakasi,Chidambaram,Silver Route,Non-AC Seater,40,Seats,95,60,"GPS, Charger, Water",Virudhunagar -> Aruppukkottai -> Madurai -> Trichy -> Ariyalur -> Jayankondam -> Kattumannarkoil,21:30,05:30,8h 00m
TN50 ZX 2055,R111,Sivakasi,Chidambaram,Deccan Rider,AC Sleeper,30,Berth,130,80,"GPS, Charger, Toilet, WiFi",Virudhunagar -> Aruppukkottai -> Madurai -> Trichy -> Ariyalur -> Jayankondam -> Kattumannarkoil,22:15,05:45,7h 30m
TN51 ZX 2056,R112,Karur,Rameswaram,Delta Runner,Ordinary,48,Seats,80,50,GPS,Kulithalai -> Trichy -> Pudukottai -> Aranthangi -> Karaikudi -> Devakottai -> Paramakudi,04:45,12:45,8h 00m
TN51 ZX 2057,R112,Karur,Rameswaram,Crown Voyager,Express,54,Seats,90,55,"GPS, Charger",Kulithalai -> Trichy -> Pudukottai -> Aranthangi -> Karaikudi -> Devakottai -> Paramakudi,05:20,13:50,8h 30m
TN51 ZX 2058,R112,Karur,Rameswaram,Southline Star,Deluxe,36,Berth,110,70,"GPS, WiFi",Kulithalai -> Trichy -> Pudukottai -> Aranthangi -> Karaikudi -> Devakottai -> Paramakudi,06:10,15:10,9h 00m
TN51 ZX 2059,R112,Karur,Rameswaram,Silver Route,Non-AC Seater,40,Seats,100,65,"GPS, Charger, Water",Kulithalai -> Trichy -> Pudukottai -> Aranthangi -> Karaikudi -> Devakottai -> Paramakudi,21:30,05:30,8h 00m
TN51 ZX 2060,R112,Karur,Rameswaram,Deccan Rider,AC Sleeper,30,Berth,135,85,"GPS, Charger, Toilet, WiFi",Kulithalai -> Trichy -> Pudukottai -> Aranthangi -> Karaikudi -> Devakottai -> Paramakudi,22:15,05:45,7h 30m
TN52 ZX 2061,R113,Dindigul,Kanchipuram,Delta Runner,Ordinary,48,Seats,65,40,GPS,Oddanchatram -> Palani -> Dharapuram -> Erode -> Salem -> Villupuram -> Tindivanam -> Chengalpattu,04:45,12:45,8h 00m
TN52 ZX 2062,R113,Dindigul,Kanchipuram,Crown Voyager,Express,54,Seats,75,45,"GPS, Charger",Oddanchatram -> Palani -> Dharapuram -> Erode -> Salem -> Villupuram -> Tindivanam -> Chengalpattu,05:20,13:50,8h 30m
TN52 ZX 2063,R113,Dindigul,Kanchipuram,Southline Star,Deluxe,36,Berth,95,60,"GPS, WiFi",Oddanchatram -> Palani -> Dharapuram -> Erode -> Salem -> Villupuram -> Tindivanam -> Chengalpattu,06:10,15:10,9h 00m
TN52 ZX 2064,R113,Dindigul,Kanchipuram,Silver Route,Non-AC Seater,40,Seats,85,55,"GPS, Charger, Water",Oddanchatram -> Palani -> Dharapuram -> Erode -> Salem -> Villupuram -> Tindivanam -> Chengalpattu,21:30,05:30,8h 00m
TN52 ZX 2065,R113,Dindigul,Kanchipuram,Deccan Rider,AC Sleeper,30,Berth,120,75,"GPS, Charger, Toilet, WiFi",Oddanchatram -> Palani -> Dharapuram -> Erode -> Salem -> Villupuram -> Tindivanam -> Chengalpattu,22:15,05:45,7h 30m
TN53 ZX 2066,R114,Mettupalayam,Kanyakumari,Delta Runner,Ordinary,48,Seats,70,45,GPS,Sathyamangalam -> Gobichettipalayam -> Erode -> Karur -> Dindigul -> Madurai -> Tirunelveli -> Nagercoil,04:45,12:45,8h 00m
TN53 ZX 2067,R114,Mettupalayam,Kanyakumari,Crown Voyager,Express,54,Seats,80,50,"GPS, Charger",Sathyamangalam -> Gobichettipalayam -> Erode -> Karur -> Dindigul -> Madurai -> Tirunelveli -> Nagercoil,05:20,13:50,8h 30m
TN53 ZX 2068,R114,Mettupalayam,Kanyakumari,Southline Star,Deluxe,36,Berth,100,65,"GPS, WiFi",Sathyamangalam -> Gobichettipalayam -> Erode -> Karur -> Dindigul -> Madurai -> Tirunelveli -> Nagercoil,06:10,15:10,9h 00m
TN53 ZX 2069,R114,Mettupalayam,Kanyakumari,Silver Route,Non-AC Seater,40,Seats,90,60,"GPS, Charger, Water",Sathyamangalam -> Gobichettipalayam -> Erode -> Karur -> Dindigul -> Madurai -> Tirunelveli -> Nagercoil,21:30,05:30,8h 00m
TN53 ZX 2070,R114,Mettupalayam,Kanyakumari,Deccan Rider,AC Sleeper,30,Berth,125,80,"GPS, Charger, Toilet, WiFi",Sathyamangalam -> Gobichettipalayam -> Erode -> Karur -> Dindigul -> Madurai -> Tirunelveli -> Nagercoil,22:15,05:45,7h 30m
TN54 ZX 2071,R115,Tiruvannamalai,Thoothukudi,Delta Runner,Ordinary,48,Seats,75,50,GPS,Polur -> Vellore -> Ambur -> Krishnagiri -> Salem -> Namakkal -> Karur -> Madurai -> Kovilpatti,04:45,12:45,8h 00m
TN54 ZX 2072,R115,Tiruvannamalai,Thoothukudi,Crown Voyager,Express,54,Seats,85,55,"GPS, Charger",Polur -> Vellore -> Ambur -> Krishnagiri -> Salem -> Namakkal -> Karur -> Madurai -> Kovilpatti,05:20,13:50,8h 30m
TN54 ZX 2073,R115,Tiruvannamalai,Thoothukudi,Southline Star,Deluxe,36,Berth,105,70,"GPS, WiFi",Polur -> Vellore -> Ambur -> Krishnagiri -> Salem -> Namakkal -> Karur -> Madurai -> Kovilpatti,06:10,15:10,9h 00m
TN54 ZX 2074,R115,Tiruvannamalai,Thoothukudi,Silver Route,Non-AC Seater,40,Seats,95,65,"GPS, Charger, Water",Polur -> Vellore -> Ambur -> Krishnagiri -> Salem -> Namakkal -> Karur -> Madurai -> Kovilpatti,21:30,05:30,8h 00m
TN54 ZX 2075,R115,Tiruvannamalai,Thoothukudi,Deccan Rider,AC Sleeper,30,Berth,130,85,"GPS, Charger, Toilet, WiFi",Polur -> Vellore -> Ambur -> Krishnagiri -> Salem -> Namakkal -> Karur -> Madurai -> Kovilpatti,22:15,05:45,7h 30m
TN55 ZX 2076,R116,Kallakurichi,Rameswaram,Delta Runner,Ordinary,48,Seats,80,40,GPS,Sankarapuram -> Ulundurpet -> Ariyalur -> Perambalur -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,04:45,12:45,8h 00m
TN55 ZX 2077,R116,Kallakurichi,Rameswaram,Crown Voyager,Express,54,Seats,90,45,"GPS, Charger",Sankarapuram -> Ulundurpet -> Ariyalur -> Perambalur -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,05:20,13:50,8h 30m
TN55 ZX 2078,R116,Kallakurichi,Rameswaram,Southline Star,Deluxe,36,Berth,110,60,"GPS, WiFi",Sankarapuram -> Ulundurpet -> Ariyalur -> Perambalur -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,06:10,15:10,9h 00m
TN55 ZX 2079,R116,Kallakurichi,Rameswaram,Silver Route,Non-AC Seater,40,Seats,100,55,"GPS, Charger, Water",Sankarapuram -> Ulundurpet -> Ariyalur -> Perambalur -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,21:30,05:30,8h 00m
TN55 ZX 2080,R116,Kallakurichi,Rameswaram,Deccan Rider,AC Sleeper,30,Berth,135,75,"GPS, Charger, Toilet, WiFi",Sankarapuram -> Ulundurpet -> Ariyalur -> Perambalur -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,22:15,05:45,7h 30m
TN56 ZX 2081,R117,Mayiladuthurai,Tirunelveli,Delta Runner,Ordinary,48,Seats,65,45,GPS,Sirkazhi -> Chidambaram -> Cuddalore -> Villupuram -> Kallakurichi -> Salem -> Dindigul -> Madurai,04:45,12:45,8h 00m
TN56 ZX 2082,R117,Mayiladuthurai,Tirunelveli,Crown Voyager,Express,54,Seats,75,50,"GPS, Charger",Sirkazhi -> Chidambaram -> Cuddalore -> Villupuram -> Kallakurichi -> Salem -> Dindigul -> Madurai,05:20,13:50,8h 30m
TN56 ZX 2083,R117,Mayiladuthurai,Tirunelveli,Southline Star,Deluxe,36,Berth,95,65,"GPS, WiFi",Sirkazhi -> Chidambaram -> Cuddalore -> Villupuram -> Kallakurichi -> Salem -> Dindigul -> Madurai,06:10,15:10,9h 00m
TN56 ZX 2084,R117,Mayiladuthurai,Tirunelveli,Silver Route,Non-AC Seater,40,Seats,85,60,"GPS, Charger, Water",Sirkazhi -> Chidambaram -> Cuddalore -> Villupuram -> Kallakurichi -> Salem -> Dindigul -> Madurai,21:30,05:30,8h 00m
TN56 ZX 2085,R117,Mayiladuthurai,Tirunelveli,Deccan Rider,AC Sleeper,30,Berth,120,80,"GPS, Charger, Toilet, WiFi",Sirkazhi -> Chidambaram -> Cuddalore -> Villupuram -> Kallakurichi -> Salem -> Dindigul -> Madurai,22:15,05:45,7h 30m
TN57 ZX 2086,R118,Pudukottai,Ooty,Delta Runner,Ordinary,48,Seats,70,50,GPS,Alangudi -> Thanjavur -> Trichy -> Karur -> Erode -> Bhavani -> Sathyamangalam -> Coonoor,04:45,12:45,8h 00m
TN57 ZX 2087,R118,Pudukottai,Ooty,Crown Voyager,Express,54,Seats,80,55,"GPS, Charger",Alangudi -> Thanjavur -> Trichy -> Karur -> Erode -> Bhavani -> Sathyamangalam -> Coonoor,05:20,13:50,8h 30m
TN57 ZX 2088,R118,Pudukottai,Ooty,Southline Star,Deluxe,36,Berth,100,70,"GPS, WiFi",Alangudi -> Thanjavur -> Trichy -> Karur -> Erode -> Bhavani -> Sathyamangalam -> Coonoor,06:10,15:10,9h 00m
TN57 ZX 2089,R118,Pudukottai,Ooty,Silver Route,Non-AC Seater,40,Seats,90,65,"GPS, Charger, Water",Alangudi -> Thanjavur -> Trichy -> Karur -> Erode -> Bhavani -> Sathyamangalam -> Coonoor,21:30,05:30,8h 00m
TN57 ZX 2090,R118,Pudukottai,Ooty,Deccan Rider,AC Sleeper,30,Berth,125,85,"GPS, Charger, Toilet, WiFi",Alangudi -> Thanjavur -> Trichy -> Karur -> Erode -> Bhavani -> Sathyamangalam -> Coonoor,22:15,05:45,7h 30m
TN58 ZX 2091,R119,Tiruchendur,Salem,Delta Runner,Ordinary,48,Seats,75,40,GPS,Thoothukudi -> Kovilpatti -> Sivakasi -> Virudhunagar -> Madurai -> Dindigul -> Karur -> Namakkal,04:45,12:45,8h 00m
TN58 ZX 2092,R119,Tiruchendur,Salem,Crown Voyager,Express,54,Seats,85,45,"GPS, Charger",Thoothukudi -> Kovilpatti -> Sivakasi -> Virudhunagar -> Madurai -> Dindigul -> Karur -> Namakkal,05:20,13:50,8h 30m
TN58 ZX 2093,R119,Tiruchendur,Salem,Southline Star,Deluxe,36,Berth,105,60,"GPS, WiFi",Thoothukudi -> Kovilpatti -> Sivakasi -> Virudhunagar -> Madurai -> Dindigul -> Karur -> Namakkal,06:10,15:10,9h 00m
TN58 ZX 2094,R119,Tiruchendur,Salem,Silver Route,Non-AC Seater,40,Seats,95,55,"GPS, Charger, Water",Thoothukudi -> Kovilpatti -> Sivakasi -> Virudhunagar -> Madurai -> Dindigul -> Karur -> Namakkal,21:30,05:30,8h 00m
TN58 ZX 2095,R119,Tiruchendur,Salem,Deccan Rider,AC Sleeper,30,Berth,130,75,"GPS, Charger, Toilet, WiFi",Thoothukudi -> Kovilpatti -> Sivakasi -> Virudhunagar -> Madurai -> Dindigul -> Karur -> Namakkal,22:15,05:45,7h 30m
TN59 ZX 2096,R120,Dharmapuri,Rameswaram,Delta Runner,Ordinary,48,Seats,80,45,GPS,Pennagaram -> Mettur -> Salem -> Namakkal -> Karur -> Trichy -> Pudukottai -> Karaikudi -> Paramakudi,04:45,12:45,8h 00m
TN59 ZX 2097,R120,Dharmapuri,Rameswaram,Crown Voyager,Express,54,Seats,90,50,"GPS, Charger",Pennagaram -> Mettur -> Salem -> Namakkal -> Karur -> Trichy -> Pudukottai -> Karaikudi -> Paramakudi,05:20,13:50,8h 30m
TN59 ZX 2098,R120,Dharmapuri,Rameswaram,Southline Star,Deluxe,36,Berth,110,65,"GPS, WiFi",Pennagaram -> Mettur -> Salem -> Namakkal -> Karur -> Trichy -> Pudukottai -> Karaikudi -> Paramakudi,06:10,15:10,9h 00m
TN59 ZX 2099,R120,Dharmapuri,Rameswaram,Silver Route,Non-AC Seater,40,Seats,100,60,"GPS, Charger, Water",Pennagaram -> Mettur -> Salem -> Namakkal -> Karur -> Trichy -> Pudukottai -> Karaikudi -> Paramakudi,21:30,05:30,8h 00m
TN59 ZX 2100,R120,Dharmapuri,Rameswaram,Deccan Rider,AC Sleeper,30,Berth,135,80,"GPS, Charger, Toilet, WiFi",Pennagaram -> Mettur -> Salem -> Namakkal -> Karur -> Trichy -> Pudukottai -> Karaikudi -> Paramakudi,22:15,05:45,7h 30m
