Reg,Route,Start,End,BusName,Type,Seats,SeatType,MinFare,AddStopFare,Facilities,Stops,Departure,Arrival,TravelTime
TN39 AB 1049,R009,Coimbatore,Madurai,Temple Runner,Non-AC Seater,40,Seats,90,65,GPS,Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,05:30,10:30,5h 00m
TN30 AB 1050,R009,Coimbatore,Madurai,Highway King,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,06:00,10:30,4h 30m
TN31 AB 1051,R009,Coimbatore,Madurai,Lotus Travels,Ordinary,48,Seats,75,50,"GPS, Charger",Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,05:00,13:00,8h 00m
TN32 AB 1052,R009,Coimbatore,Madurai,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger",Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,04:30,12:30,8h 00m
TN33 AB 1053,R009,Coimbatore,Madurai,Velan Express,Deluxe,36,Berth,85,60,GPS,Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,06:00,17:00,11h 00m
TN34 AB 1054,R009,Coimbatore,Madurai,Pearl Cruiser,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Pollachi -> Udumalpet -> Palani -> Oddanchatram -> Dindigul -> Vadamadurai -> Sholavandan -> Samayanallur -> Mattuthavani -> Thiruparankundram,05:30,10:30,5h 00m
TN35 AB 1055,R010,Madurai,Coimbatore,Sunrise Coach,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,06:00,10:30,4h 30m
TN36 AB 1056,R010,Madurai,Coimbatore,Metro Link,Ordinary,48,Seats,75,50,GPS,Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,05:00,13:00,8h 00m
TN37 AB 1057,R010,Madurai,Coimbatore,Green Route,Express,54,Seats,80,55,GPS,Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,04:30,12:30,8h 00m
TN38 AB 1058,R010,Madurai,Coimbatore,Riverline,Deluxe,36,Berth,85,60,"GPS, Charger",Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,06:00,17:00,11h 00m
TN39 AB 1059,R010,Madurai,Coimbatore,Heritage Express,Non-AC Seater,40,Seats,90,65,GPS,Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,05:30,10:30,5h 00m
TN30 AB 1060,R010,Madurai,Coimbatore,Elite Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Thiruparankundram -> Mattuthavani -> Samayanallur -> Sholavandan -> Dindigul -> Oddanchatram -> Palani -> Udumalpet -> Pollachi -> Kinathukadavu,06:00,10:30,4h 30m
TN31 AB 1061,R011,Chennai,Trichy,Southern Express,Ordinary,48,Seats,75,50,GPS,Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,05:00,13:00,8h 00m
TN32 AB 1062,R011,Chennai,Trichy,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger",Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,04:30,12:30,8h 00m
TN33 AB 1063,R011,Chennai,Trichy,Marina Star,Deluxe,36,Berth,85,60,GPS,Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,06:00,17:00,11h 00m
TN34 AB 1064,R011,Chennai,Trichy,Western Voyager,Non-AC Seater,40,Seats,90,65,GPS,Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,05:30,10:30,5h 00m
TN35 AB 1065,R011,Chennai,Trichy,Royal Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,06:00,10:30,4h 30m
TN36 AB 1066,R011,Chennai,Trichy,Blue Horizon,Ordinary,48,Seats,75,50,"GPS, Charger",Tambaram -> Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Samayapuram -> Srirangam -> TVS Tollgate,05:00,13:00,8h 00m
TN37 AB 1067,R012,Trichy,Coimbatore,Emerald Coach,Express,54,Seats,80,55,GPS,Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,04:30,12:30,8h 00m
TN38 AB 1068,R012,Trichy,Coimbatore,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger",Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,06:00,17:00,11h 00m
TN39 AB 1069,R012,Trichy,Coimbatore,Temple Runner,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,05:30,10:30,5h 00m
TN30 AB 1070,R012,Trichy,Coimbatore,Highway King,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,06:00,10:30,4h 30m
TN31 AB 1071,R012,Trichy,Coimbatore,Lotus Travels,Ordinary,48,Seats,75,50,GPS,Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,05:00,13:00,8h 00m
TN32 AB 1072,R012,Trichy,Coimbatore,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger",Kulithalai -> Karur -> Kodumudi -> Erode -> Perundurai -> Vijayamangalam -> Chennimalai -> Avinashi -> Neelambur -> Gandhipuram,04:30,12:30,8h 00m
TN33 AB 1073,R013,Chennai,Pondicherry,Velan Express,Deluxe,36,Berth,85,60,GPS,Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,06:00,17:00,11h 00m
TN34 AB 1074,R013,Chennai,Pondicherry,Pearl Cruiser,Non-AC Seater,40,Seats,90,65,GPS,Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,05:30,10:30,5h 00m
TN35 AB 1075,R013,Chennai,Pondicherry,Sunrise Coach,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,06:00,10:30,4h 30m
TN36 AB 1076,R013,Chennai,Pondicherry,Metro Link,Ordinary,48,Seats,75,50,GPS,Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,05:00,13:00,8h 00m
TN37 AB 1077,R013,Chennai,Pondicherry,Green Route,Express,54,Seats,80,55,GPS,Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,04:30,12:30,8h 00m
TN38 AB 1078,R013,Chennai,Pondicherry,Riverline,Deluxe,36,Berth,85,60,"GPS, Charger",Tambaram -> Vandalur -> Guduvancheri -> Chengalpattu -> Madurantakam -> Tindivanam -> Mailam -> Auroville -> Lawspet -> Muthialpet,06:00,17:00,11h 00m
TN39 AB 1079,R014,Pondicherry,Chennai,Heritage Express,Non-AC Seater,40,Seats,90,65,GPS,Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,05:30,10:30,5h 00m
TN30 AB 1080,R014,Pondicherry,Chennai,Elite Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,06:00,10:30,4h 30m
TN31 AB 1081,R014,Pondicherry,Chennai,Southern Express,Ordinary,48,Seats,75,50,"GPS, Charger",Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,05:00,13:00,8h 00m
TN32 AB 1082,R014,Pondicherry,Chennai,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger",Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,04:30,12:30,8h 00m
TN33 AB 1083,R014,Pondicherry,Chennai,Marina Star,Deluxe,36,Berth,85,60,GPS,Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,06:00,17:00,11h 00m
TN34 AB 1084,R014,Pondicherry,Chennai,Western Voyager,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Muthialpet -> Lawspet -> Auroville -> Mailam -> Tindivanam -> Madurantakam -> Chengalpattu -> Guduvancheri -> Vandalur -> Tambaram,05:30,10:30,5h 00m
TN35 AB 1085,R015,Chennai,Vellore,Royal Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,06:00,10:30,4h 30m
TN36 AB 1086,R015,Chennai,Vellore,Blue Horizon,Ordinary,48,Seats,75,50,GPS,Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,05:00,13:00,8h 00m
TN37 AB 1087,R015,Chennai,Vellore,Emerald Coach,Express,54,Seats,80,55,GPS,Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,04:30,12:30,8h 00m
TN38 AB 1088,R015,Chennai,Vellore,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger",Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,06:00,17:00,11h 00m
TN39 AB 1089,R015,Chennai,Vellore,Temple Runner,Non-AC Seater,40,Seats,90,65,GPS,Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,05:30,10:30,5h 00m
TN30 AB 1090,R015,Chennai,Vellore,Highway King,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Poonamallee -> Sriperumbudur -> Walajabad -> Kanchipuram -> Ranipet -> Arcot -> Katpadi -> VIT -> Sathuvachari -> Old Bus Stand,06:00,10:30,4h 30m
TN31 AB 1091,R016,Vellore,Chennai,Lotus Travels,Ordinary,48,Seats,75,50,GPS,Old Bus Stand -> Sathuvachari -> VIT -> Katpadi -> Arcot -> Ranipet -> Kanchipuram -> Walajabad -> Sriperumbudur -> Poonamallee,05:00,13:00,8h 00m
TN32 AB 1092,R016,Vellore,Chennai,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger",Old Bus Stand -> Sathuvachari -> VIT -> Katpadi -> Arcot -> Ranipet -> Kanchipuram -> Walajabad -> Sriperumbudur -> Poonamallee,04:30,12:30,8h 00m
TN33 AB 1093,R016,Vellore,Chennai,Velan Express,Deluxe,36,Berth,85,60,GPS,Old Bus Stand -> Sathuvachari -> VIT -> Katpadi -> Arcot -> Ranipet -> Kanchipuram -> Walajabad -> Sriperumbudur -> Poonamallee,06:00,17:00,11h 00m
TN34 AB 1094,R016,Vellore,Chennai,Pearl Cruiser,Non-AC Seater,40,Seats,90,65,GPS,Old Bus Stand -> Sathuvachari -> VIT -> Katpadi -> Arcot -> Ranipet -> Kanchipuram -> Walajabad -> Sriperumbudur -> Poonamallee,05:30,10:30,5h 00m
